id,mf,yo,we,jd
112,7.85,10.36893204,10.9,2.157894737
113,7.763888889,10.32051282,10.8427673,2.15
114,7.656050955,10.25,10.68518519,2.13559322
115,7.651006711,10.22222222,10.24242424,2.123287671
116,7.591304348,10.02777778,10.22222222,2.109589041
117,7.533039648,10.01587302,10.16504854,2.106382979
118,7.423611111,9.975903614,10.1011236,2.083333333
119,7.339393939,9.963636364,9.946236559,2.082474227
120,7.330708661,9.895833333,9.905797101,2.070175439
121,7.23880597,9.87804878,9.828025478,2.068965517
122,7.231707317,9.833333333,9.809917355,2.063291139
123,7.158208955,9.651162791,9.788135593,2.0625
124,7.153846154,9.644444444,9.707692308,2.059701493
125,7.143884892,9.6,9.573076923,2.050847458
126,7.081967213,9.584210526,9.572916667,2.046511628
127,7.057377049,9.489361702,9.563106796,2.045454545
128,7.05,9.455882353,9.536363636,2.016393443
129,7.021857923,9.382352941,9.407643312,2.014492754
130,7.014388489,9.363636364,9.398058252,2.010309278
131,7.006097561,9.35443038,9.38317757,2
132,6.973333333,9.255555556,9.292682927,2
133,6.97029703,9.244186047,9.063636364,1.988636364
134,6.967391304,9.233766234,9.058510638,1.980769231
135,6.885885886,9.222222222,8.951612903,1.980582524
136,6.87,9.196078431,8.933774834,1.962264151
137,6.848684211,9.157894737,8.869158879,1.951923077
138,6.833333333,9.068965517,8.846153846,1.946428571
139,6.796875,9.022988506,8.794594595,1.944444444
140,6.748031496,9,8.764150943,1.931506849
141,6.730538922,8.990291262,8.74789916,1.9296875
142,6.707070707,8.98245614,8.734375,1.916666667
143,6.677725118,8.975,8.7,1.916666667
144,6.662420382,8.96835443,8.653225806,1.9
145,6.604229607,8.911111111,8.644736842,1.896103896
146,6.602094241,8.857142857,8.443661972,1.890243902
147,6.600896861,8.825396825,8.373134328,1.885714286
148,6.58041958,8.818181818,8.339449541,1.885416667
149,6.566433566,8.801652893,8.288343558,1.871794872
150,6.558441558,8.8,8.220472441,1.870588235
151,6.548387097,8.734939759,8.185430464,1.864661654
152,6.535031847,8.631578947,8.174603175,1.864583333
153,6.492957746,8.615384615,8.148809524,1.851351351
154,6.478632479,8.56097561,8.05785124,1.845238095
155,6.458064516,8.560606061,8.042735043,1.84
156,6.425675676,8.556962025,8.034246575,1.837837838
157,6.417475728,8.548387097,8.025510204,1.829545455
158,6.344827586,8.539473684,7.887892377,1.829059829
159,6.316129032,8.512820513,7.858974359,1.814285714
160,6.225296443,8.464,7.689655172,1.810606061
161,6.166666667,8.444444444,7.534722222,1.796875
162,6.104972376,8.444444444,7.185185185,1.795
163,6.1,8.431578947,7.155642023,1.787878788
164,6.077380952,8.422222222,7.054455446,1.779816514
165,6.015384615,8.385542169,7.048611111,1.778846154
166,5.944751381,8.384615385,7.012578616,1.766990291
167,5.93495935,8.382716049,6.995412844,1.765432099
168,5.888888889,8.377245509,6.902255639,1.763888889
169,5.825174825,8.282051282,6.900497512,1.76119403
170,5.785714286,8.25974026,6.80141844,1.756756757
171,5.756410256,8.236842105,6.791878173,1.75
172,5.745535714,8.189189189,6.748953975,1.744680851
173,5.733576642,8.183098592,6.74566474,1.741176471
174,5.656716418,8.160493827,6.744680851,1.727272727
175,5.598130841,8.154929577,6.723076923,1.727272727
